Player,Salary,Season,PTS,AST,REB,TOV,IntegrationMethod,Source
kevin garnett,19600000.0,2001,1784.0,401.0,921.0,230.0,Exact,both
shaquille o'neal,19285000.0,2001,2125.0,277.0,940.0,218.0,Exact,both
alonzo mourning,16879000.0,2001,177.0,12.0,101.0,28.0,Exact,both
juwan howard,16875000.0,2001,1462.0,224.0,572.0,242.0,Exact,both
juwan howard,16875000.0,2001,481.0,70.0,193.0,73.0,Exact,both
juwan howard,16875000.0,2001,981.0,154.0,379.0,169.0,Exact,both
hakeem olajuwon,16685000.0,2001,689.0,72.0,431.0,81.0,Exact,both
karl malone,15750000.0,2001,1878.0,361.0,669.0,244.0,Exact,both
dikembe mutombo,14422000.0,2001,749.0,76.0,1015.0,144.0,Exact,both
dikembe mutombo,14422000.0,2001,304.0,22.0,322.0,52.0,Exact,both
dikembe mutombo,14422000.0,2001,445.0,54.0,693.0,92.0,Exact,both
patrick ewing,14000000.0,2001,760.0,92.0,585.0,151.0,Exact,both
david robinson,13196000.0,2001,1151.0,116.0,691.0,122.0,Exact,both
scottie pippen,13151000.0,2001,721.0,294.0,333.0,154.0,Exact,both
rasheed wallace,12600000.0,2001,1477.0,212.0,602.0,158.0,Exact,both
larry johnson,12485000.0,2001,645.0,127.0,363.0,97.0,Exact,both
gary payton,12200000.0,2001,1823.0,642.0,361.0,209.0,Exact,both
tim hardaway,12000000.0,2001,1150.0,483.0,204.0,189.0,Exact,both
chris webber,12000000.0,2001,1898.0,294.0,777.0,195.0,Exact,both
shawn kemp,11720000.0,2001,441.0,65.0,259.0,99.0,Exact,both
damon stoudamire,11250000.0,2001,1066.0,468.0,303.0,191.0,Exact,both
john stockton,11000000.0,2001,944.0,713.0,227.0,203.0,Exact,both
antonio mcdyess,10800000.0,2001,1458.0,146.0,845.0,162.0,Exact,both
reggie miller,10666000.0,2001,1527.0,260.0,285.0,133.0,Exact,both
arvydas sabonis,10636000.0,2001,616.0,91.0,331.0,85.0,Exact,both
zydrunas ilgauskas,10130000.0,2001,281.0,18.0,160.0,60.0,Exact,both
anfernee hardaway,10130000.0,2001,39.0,15.0,18.0,3.0,Exact,both
stephon marbury,10130000.0,2001,1598.0,506.0,205.0,197.0,Exact,both
antoine walker,10125000.0,2001,1892.0,445.0,719.0,301.0,Exact,both
shareef abdur-rahim,10125000.0,2001,1663.0,250.0,735.0,231.0,Exact,both
allen iverson,10125000.0,2001,2207.0,325.0,273.0,237.0,Exact,both
latrell sprewell,10125000.0,2001,1364.0,269.0,347.0,218.0,Exact,both
vin baker,10125000.0,2001,927.0,90.0,430.0,158.0,Exact,both
ray allen,10125000.0,2001,1806.0,374.0,428.0,204.0,Exact,both
kobe bryant,10125000.0,2001,1938.0,338.0,399.0,220.0,Exact,both
bryant reeves,10110000.0,2001,622.0,80.0,452.0,90.0,Exact,both
tracy mcgrady,9658000.0,2001,2065.0,352.0,580.0,198.0,Exact,both
tim duncan,9658000.0,2001,1820.0,245.0,997.0,242.0,Exact,both
jalen rose,9658000.0,2001,1478.0,435.0,359.0,211.0,Exact,both
grant hill,9658000.0,2001,55.0,25.0,25.0,11.0,Exact,both
vlade divac,9641000.0,2001,974.0,231.0,673.0,192.0,Exact,both
tom gugliotta,9336000.0,2001,362.0,55.0,255.0,51.0,Exact,both
allan houston,9000000.0,2001,1459.0,173.0,283.0,161.0,Exact,both
keith van horn,9000000.0,2001,831.0,82.0,347.0,103.0,Exact,both
eddie jones,8960000.0,2001,1094.0,171.0,292.0,135.0,Exact,both
brian grant,8897000.0,2001,1250.0,101.0,718.0,170.0,Exact,both
tim thomas,8507000.0,2001,954.0,138.0,313.0,114.0,Exact,both
michael finley,8400000.0,2001,1765.0,360.0,425.0,190.0,Exact,both
shawn bradley,8370000.0,2001,579.0,38.0,608.0,88.0,Exact,both
terrell brandon,8325000.0,2001,1250.0,583.0,298.0,155.0,Exact,both
nick van exel,8184000.0,2001,1259.0,600.0,241.0,165.0,Exact,both
glenn robinson,8120000.0,2001,1674.0,252.0,526.0,219.0,Exact,both
elden campbell,8050000.0,2001,1022.0,104.0,608.0,144.0,Exact,both
derrick coleman,8040000.0,2001,277.0,39.0,184.0,42.0,Exact,both
avery johnson,8000000.0,2001,310.0,237.0,85.0,60.0,Exact,both
horace grant,7843000.0,2001,657.0,121.0,545.0,48.0,Exact,both
theo ratliff,7800000.0,2001,621.0,58.0,413.0,126.0,Exact,both
jason kidd,7630000.0,2001,1299.0,753.0,494.0,286.0,Exact,both
glen rice,7578000.0,2001,899.0,89.0,307.0,96.0,Exact,both
kenny anderson,7520000.0,2001,246.0,134.0,73.0,52.0,Exact,both
matt geiger,7515000.0,2001,213.0,14.0,139.0,25.0,Exact,both
tyrone hill,7415000.0,2001,728.0,48.0,687.0,127.0,Exact,both
toni kukoc,7167000.0,2001,721.0,199.0,259.0,111.0,Exact,both
toni kukoc,7167000.0,2001,335.0,106.0,97.0,51.0,Exact,both
toni kukoc,7167000.0,2001,386.0,93.0,162.0,60.0,Exact,both
clifford robinson,6890000.0,2001,1345.0,237.0,334.0,186.0,Exact,both
christian laettner,6625000.0,2001,728.0,124.0,365.0,137.0,Exact,both
christian laettner,6625000.0,2001,330.0,57.0,153.0,67.0,Exact,both
christian laettner,6625000.0,2001,398.0,67.0,212.0,70.0,Exact,both
chris dudley,6200000.0,2001,72.0,18.0,183.0,26.0,Exact,both
jamal mashburn,6200000.0,2001,1528.0,411.0,576.0,211.0,Exact,both
dale davis,6175000.0,2001,580.0,103.0,606.0,67.0,Exact,both
alan henderson,5909000.0,2001,769.0,50.0,406.0,126.0,Exact,both
p.j. brown,5764000.0,2001,676.0,127.0,742.0,108.0,Exact,both
luc longley,5750000.0,2001,49.0,7.0,66.0,22.0,Exact,both
marcus camby,5750000.0,2001,759.0,52.0,723.0,63.0,Exact,both
jermaine o'neal,5700000.0,2001,1041.0,98.0,794.0,161.0,Exact,both
donyell marshall,5630000.0,2001,1100.0,133.0,566.0,128.0,Exact,both
bryant stith,5620000.0,2001,756.0,168.0,284.0,90.0,Exact,both
erick dampier,5611000.0,2001,319.0,59.0,250.0,82.0,Exact,both
wesley person,5600000.0,2001,314.0,64.0,130.0,40.0,Exact,both
anthony mason,5553000.0,2001,1290.0,248.0,770.0,179.0,Exact,both
ron mercer,5515000.0,2001,1202.0,201.0,236.0,129.0,Exact,both
antonio davis,5500000.0,2001,1069.0,106.0,787.0,135.0,Exact,both
steve nash,5500000.0,2001,1092.0,509.0,223.0,205.0,Exact,both
derrick mckey,5400000.0,2001,145.0,74.0,176.0,47.0,Exact,both
kelvin cato,5400000.0,2001,165.0,11.0,141.0,25.0,Exact,both
jim mcilvaine,5400000.0,2001,28.0,4.0,35.0,9.0,Exact,both
sean elliott,5333000.0,2001,409.0,81.0,170.0,51.0,Exact,both
robert horry,5300000.0,2001,407.0,128.0,296.0,79.0,Exact,both
austin croshere,5298000.0,2001,822.0,92.0,387.0,136.0,Exact,both
greg ostertag,5200000.0,2001,363.0,22.0,415.0,63.0,Exact,both
jerry stackhouse,5000000.0,2001,2380.0,410.0,315.0,326.0,Exact,both
charlie ward,5000000.0,2001,433.0,273.0,159.0,112.0,Exact,both
lorenzen wright,4950000.0,2001,881.0,87.0,535.0,125.0,Exact,both
loy vaught,4812000.0,2001,168.0,23.0,173.0,26.0,Exact,both
loy vaught,4812000.0,2001,54.0,7.0,50.0,8.0,Exact,both
loy vaught,4812000.0,2001,114.0,16.0,123.0,18.0,Exact,both
mookie blaylock,4800000.0,2001,760.0,462.0,272.0,128.0,Exact,both
chris mills,4800000.0,2001,180.0,18.0,93.0,20.0,Exact,both
chris childs,4680000.0,2001,362.0,355.0,202.0,156.0,Exact,both
chris childs,4680000.0,2001,117.0,119.0,64.0,58.0,Exact,both
chris childs,4680000.0,2001,245.0,236.0,138.0,98.0,Exact,both
bryon russell,4570000.0,2001,933.0,160.0,330.0,113.0,Exact,both
bo outlaw,4500000.0,2001,582.0,225.0,619.0,141.0,Exact,both
walt williams,4500000.0,2001,599.0,97.0,245.0,73.0,Exact,both
tariq abdul-wahad,4500000.0,2001,111.0,22.0,59.0,34.0,Exact,both
bob sura,4386000.0,2001,586.0,242.0,227.0,160.0,Exact,both
jason caffey,4375000.0,2001,500.0,53.0,353.0,77.0,Exact,both
robert pack,4320000.0,2001,479.0,293.0,137.0,135.0,Exact,both
brent barry,4320000.0,2001,589.0,225.0,211.0,86.0,Exact,both
vitaly potapenko,4286000.0,2001,611.0,64.0,495.0,105.0,Exact,both
brevin knight,4250000.0,2001,9.0,25.0,7.0,7.0,Exact,both
brevin knight,4250000.0,2001,333.0,311.0,168.0,91.0,Exact,both
brevin knight,4250000.0,2001,324.0,286.0,161.0,84.0,Exact,both
howard eisley,4250000.0,2001,741.0,295.0,197.0,102.0,Exact,both
scott williams,4200000.0,2001,403.0,35.0,364.0,41.0,Exact,both
brad miller,4000000.0,2001,505.0,107.0,419.0,73.0,Exact,both
duane causwell,4000000.0,2001,76.0,5.0,83.0,23.0,Exact,both
ben wallace,4000000.0,2001,511.0,123.0,1052.0,117.0,Exact,both
dan majerle,4000000.0,2001,267.0,88.0,166.0,35.0,Exact,both
corliss williamson,3997000.0,2001,390.0,33.0,153.0,65.0,Exact,both
corliss williamson,3997000.0,2001,801.0,61.0,321.0,110.0,Exact,both
corliss williamson,3997000.0,2001,411.0,28.0,168.0,45.0,Exact,both
cedric ceballos,3937000.0,2001,261.0,20.0,106.0,32.0,Exact,both
cedric ceballos,3937000.0,2001,186.0,13.0,80.0,23.0,Exact,both
cedric ceballos,3937000.0,2001,75.0,7.0,26.0,9.0,Exact,both
jahidi white,3922000.0,2001,583.0,20.0,521.0,136.0,Exact,both
cuttino mobley,3922000.0,2001,1538.0,195.0,397.0,165.0,Exact,both
scot pollard,3922000.0,2001,498.0,47.0,465.0,66.0,Exact,both
rashard lewis,3920000.0,2001,1151.0,125.0,541.0,129.0,Exact,both
eric williams,3892000.0,2001,535.0,112.0,207.0,76.0,Exact,both
voshon lenard,3780000.0,2001,972.0,190.0,231.0,102.0,Exact,both
dana barros,3700000.0,2001,478.0,110.0,94.0,60.0,Exact,both
michael olowokandi,3697000.0,2001,701.0,46.0,525.0,169.0,Exact,both
kurt thomas,3680000.0,2001,800.0,63.0,515.0,99.0,Exact,both
elton brand,3629000.0,2001,1490.0,240.0,746.0,219.0,Exact,both
adonal foyle,3578000.0,2001,342.0,48.0,405.0,79.0,Exact,both
mark jackson,3565000.0,2001,461.0,498.0,185.0,117.0,Exact,both
mark jackson,3565000.0,2001,170.0,163.0,120.0,58.0,Exact,both
mark jackson,3565000.0,2001,631.0,661.0,305.0,175.0,Exact,both
kenyon martin,3536000.0,2001,814.0,131.0,502.0,138.0,Exact,both
michael stewart,3520000.0,2001,33.0,2.0,29.0,5.0,Exact,both
derek strong,3510000.0,2001,118.0,7.0,108.0,22.0,Exact,both
greg anthony,3500000.0,2001,282.0,82.0,61.0,43.0,Exact,both
sam cassell,3500000.0,2001,1381.0,580.0,290.0,220.0,Exact,both
rick fox,3412000.0,2001,787.0,262.0,325.0,136.0,Exact,both
adam keefe,3390000.0,2001,168.0,36.0,209.0,40.0,Exact,both
lamond murray,3375000.0,2001,998.0,124.0,340.0,141.0,Exact,both
eric snow,3375000.0,2001,491.0,369.0,166.0,124.0,Exact,both
ervin johnson,3310000.0,2001,266.0,40.0,613.0,47.0,Exact,both
mike bibby,3308000.0,2001,1301.0,685.0,304.0,248.0,Exact,both
jud buechler,3259000.0,2001,193.0,39.0,94.0,25.0,Exact,both
travis best,3250000.0,2001,918.0,473.0,222.0,127.0,Exact,both
steve francis,3246000.0,2001,1591.0,517.0,553.0,265.0,Exact,both
tony battie,3200000.0,2001,260.0,16.0,233.0,37.0,Exact,both
travis knight,3200000.0,2001,29.0,5.0,53.0,10.0,Exact,both
stromile swift,3164000.0,2001,391.0,28.0,284.0,64.0,Exact,both
doug christie,3132000.0,2001,996.0,289.0,355.0,154.0,Exact,both
tracy murray,3060000.0,2001,257.0,23.0,81.0,26.0,Exact,both
tracy murray,3060000.0,2001,207.0,14.0,59.0,20.0,Exact,both
tracy murray,3060000.0,2001,50.0,9.0,22.0,6.0,Exact,both
derek fisher,3000000.0,2001,229.0,87.0,59.0,29.0,Exact,both
eric piatkowski,3000000.0,2001,860.0,96.0,241.0,76.0,Exact,both
chucky atkins,3000000.0,2001,971.0,330.0,173.0,149.0,Exact,both
tyrone nesby,2990000.0,2001,512.0,76.0,173.0,65.0,Exact,both
tyrone nesby,2990000.0,2001,404.0,65.0,131.0,55.0,Exact,both
tyrone nesby,2990000.0,2001,108.0,11.0,42.0,10.0,Exact,both
raef lafrentz,2970000.0,2001,1008.0,107.0,607.0,97.0,Exact,both
baron davis,2916000.0,2001,1131.0,598.0,408.0,226.0,Exact,both
brent price,2880000.0,2001,13.0,5.0,4.0,4.0,Exact,both
david wesley,2880000.0,2001,1414.0,361.0,224.0,171.0,Exact,both
dean garrett,2880000.0,2001,177.0,24.0,217.0,25.0,Exact,both
mikki moore,2848000.0,2001,359.0,33.0,316.0,74.0,Exact,both
darius miles,2841000.0,2001,761.0,99.0,477.0,147.0,Exact,both
popeye jones,2815000.0,2001,162.0,31.0,220.0,21.0,Exact,both
antonio daniels,2814000.0,2001,745.0,304.0,163.0,109.0,Exact,both
walter mccarty,2812000.0,2001,131.0,39.0,81.0,20.0,Exact,both
jerome williams,2750000.0,2001,372.0,45.0,382.0,63.0,Exact,both
jerome williams,2750000.0,2001,131.0,13.0,104.0,16.0,Exact,both
jerome williams,2750000.0,2001,241.0,32.0,278.0,47.0,Exact,both
anthony peeler,2737000.0,2001,791.0,192.0,192.0,105.0,Exact,both
jon barry,2727000.0,2001,316.0,130.0,94.0,53.0,Exact,both
kevin willis,2700000.0,2001,413.0,29.0,309.0,47.0,Exact,both
kevin willis,2700000.0,2001,309.0,21.0,223.0,40.0,Exact,both
kevin willis,2700000.0,2001,722.0,50.0,532.0,87.0,Exact,both
lawrence funderburke,2700000.0,2001,288.0,17.0,196.0,32.0,Exact,both
antawn jamison,2678000.0,2001,2044.0,164.0,715.0,199.0,Exact,both
lindsey hunter,2650000.0,2001,825.0,222.0,169.0,68.0,Exact,both
lamar odom,2628000.0,2001,1304.0,392.0,592.0,264.0,Exact,both
malik rose,2570000.0,2001,437.0,48.0,308.0,74.0,Exact,both
marcus fizer,2562000.0,2001,683.0,76.0,313.0,124.0,Exact,both
dragan tarlac,2500000.0,2001,103.0,31.0,122.0,38.0,Exact,both
vince carter,2425000.0,2001,2070.0,291.0,416.0,167.0,Exact,both
jonathan bender,2380000.0,2001,193.0,32.0,74.0,42.0,Exact,both
chris whitney,2370000.0,2001,558.0,248.0,106.0,103.0,Exact,both
mike miller,2320000.0,2001,975.0,140.0,327.0,97.0,Exact,both
othella harrington,2250000.0,2001,665.0,56.0,388.0,145.0,Exact,both
othella harrington,2250000.0,2001,185.0,20.0,99.0,41.0,Exact,both
othella harrington,2250000.0,2001,480.0,36.0,289.0,104.0,Exact,both
derek anderson,2250000.0,2001,1269.0,301.0,363.0,165.0,Exact,both
john starks,2250000.0,2001,699.0,178.0,154.0,94.0,Exact,both
will perdue,2250000.0,2001,14.0,2.0,18.0,0.0,Exact,both
randy brown,2250000.0,2001,223.0,154.0,99.0,56.0,Exact,both
brian shaw,2250000.0,2001,421.0,258.0,304.0,97.0,Exact,both
a.c. green,2250000.0,2001,367.0,39.0,313.0,45.0,Exact,both
bimbo coles,2250000.0,2001,232.0,138.0,48.0,59.0,Exact,both
joe smith,2250000.0,2001,847.0,79.0,491.0,88.0,Exact,both
aaron williams,2250000.0,2001,838.0,88.0,590.0,132.0,Exact,both
sam perkins,2250000.0,2001,242.0,41.0,168.0,19.0,Exact,both
rod strickland,2250000.0,2001,498.0,303.0,140.0,107.0,Exact,both
rod strickland,2250000.0,2001,97.0,72.0,35.0,24.0,Exact,both
rod strickland,2250000.0,2001,401.0,231.0,105.0,83.0,Exact,both
tony delk,2250000.0,2001,1005.0,160.0,261.0,101.0,Exact,both
chauncey billups,2250000.0,2001,713.0,260.0,158.0,111.0,Exact,both
bobby jackson,2250000.0,2001,566.0,161.0,246.0,103.0,Exact,both
chris crawford,2250000.0,2001,318.0,37.0,110.0,62.0,Exact,both
eric montross,2240000.0,2001,120.0,19.0,173.0,41.0,Exact,both
eric montross,2240000.0,2001,13.0,4.0,29.0,4.0,Exact,both
eric montross,2240000.0,2001,107.0,15.0,144.0,37.0,Exact,both
robert traylor,2203000.0,2001,402.0,63.0,300.0,98.0,Exact,both
steve kerr,2200000.0,2001,181.0,57.0,35.0,21.0,Exact,both
detlef schrempf,2200000.0,2001,104.0,44.0,78.0,28.0,Exact,both
rodney rogers,2200000.0,2001,998.0,180.0,359.0,157.0,Exact,both
jamie feick,2200000.0,2001,22.0,5.0,56.0,7.0,Exact,both
jamal crawford,2200000.0,2001,282.0,141.0,89.0,85.0,Exact,both
john wallace,2200000.0,2001,237.0,23.0,83.0,36.0,Exact,both
terry porter,2200000.0,2001,573.0,251.0,201.0,104.0,Exact,both
shandon anderson,2200000.0,2001,710.0,189.0,333.0,131.0,Exact,both
ron harper,2200000.0,2001,307.0,113.0,166.0,62.0,Exact,both
olden polynice,2200000.0,2001,429.0,31.0,378.0,78.0,Exact,both
carlos rogers,2200000.0,2001,179.0,9.0,139.0,17.0,Exact,both
calbert cheaney,2200000.0,2001,21.0,9.0,20.0,5.0,Exact,both
michael curry,2200000.0,2001,356.0,132.0,121.0,61.0,Exact,both
george mccloud,2200000.0,2001,729.0,279.0,224.0,117.0,Exact,both
otis thorpe,2200000.0,2001,138.0,29.0,145.0,32.0,Exact,both
george lynch,2200000.0,2001,686.0,139.0,590.0,109.0,Exact,both
grant long,2200000.0,2001,396.0,83.0,274.0,62.0,Exact,both
wally szczerbiak,2162000.0,2001,1145.0,260.0,447.0,138.0,Exact,both
sean rooks,2160000.0,2001,446.0,77.0,303.0,73.0,Exact,both
lucious harris,2160000.0,2001,683.0,135.0,288.0,64.0,Exact,both
dermarr johnson,2107000.0,2001,397.0,64.0,178.0,93.0,Exact,both
sam mitchell,2100000.0,2001,285.0,57.0,123.0,36.0,Exact,both
alvin williams,2100000.0,2001,802.0,407.0,212.0,103.0,Exact,both
vinny del negro,2100000.0,2001,254.0,126.0,82.0,34.0,Exact,both
vinny del negro,2100000.0,2001,177.0,64.0,51.0,19.0,Exact,both
vinny del negro,2100000.0,2001,77.0,62.0,31.0,15.0,Exact,both
cherokee parks,2100000.0,2001,299.0,46.0,229.0,41.0,Exact,both
cherokee parks,2100000.0,2001,251.0,39.0,189.0,31.0,Exact,both
cherokee parks,2100000.0,2001,48.0,7.0,40.0,10.0,Exact,both
jason williams,2011000.0,2001,720.0,416.0,185.0,160.0,Exact,both
dell curry,2000000.0,2001,429.0,75.0,85.0,39.0,Exact,both
richard hamilton,1973000.0,2001,1411.0,224.0,238.0,201.0,Exact,both
chris mihm,1923000.0,2001,446.0,16.0,280.0,80.0,Exact,both
andrew declercq,1920000.0,2001,261.0,32.0,236.0,51.0,Exact,both
larry hughes,1842000.0,2001,823.0,223.0,276.0,152.0,Exact,both
aaron mckie,1820000.0,2001,878.0,377.0,311.0,203.0,Exact,both
andre miller,1808000.0,2001,1296.0,657.0,360.0,265.0,Exact,both
greg foster,1764000.0,2001,125.0,32.0,112.0,25.0,Exact,both
muggsy bogues,1740000.0,2001,0.0,5.0,3.0,4.0,Exact,both
darvin ham,1700000.0,2001,109.0,25.0,121.0,33.0,Exact,both
dirk nowitzki,1693000.0,2001,1784.0,173.0,754.0,156.0,Exact,both
shawn marion,1662000.0,2001,1369.0,160.0,848.0,129.0,Exact,both
joel przybilla,1619000.0,2001,27.0,2.0,71.0,13.0,Exact,both
paul pierce,1608000.0,2001,2071.0,253.0,522.0,262.0,Exact,both
jason terry,1579000.0,2001,1619.0,403.0,269.0,239.0,Exact,both
keyon dooling,1538000.0,2001,449.0,177.0,89.0,94.0,Exact,both
bonzi wells,1528000.0,2001,950.0,208.0,367.0,169.0,Exact,both
jacque vaughn,1500000.0,2001,498.0,323.0,150.0,129.0,Exact,both
trajan langdon,1500000.0,2001,389.0,81.0,89.0,52.0,Exact,both
matt bullard,1481000.0,2001,354.0,42.0,130.0,12.0,Exact,both
jerome moiso,1461000.0,2001,35.0,3.0,42.0,18.0,Exact,both
johnny newman,1400000.0,2001,895.0,115.0,176.0,106.0,Exact,both
keon clark,1379000.0,2001,640.0,72.0,434.0,90.0,Exact,both
keon clark,1379000.0,2001,413.0,38.0,248.0,42.0,Exact,both
keon clark,1379000.0,2001,227.0,34.0,186.0,48.0,Exact,both
tony massenburg,1360000.0,2001,233.0,9.0,210.0,48.0,Exact,both
corey maggette,1353000.0,2001,690.0,82.0,291.0,106.0,Exact,both
corie blount,1320000.0,2001,313.0,59.0,400.0,73.0,Exact,both
corie blount,1320000.0,2001,259.0,51.0,315.0,55.0,Exact,both
corie blount,1320000.0,2001,54.0,8.0,85.0,18.0,Exact,both
courtney alexander,1319000.0,2001,160.0,21.0,63.0,21.0,Exact,both
courtney alexander,1319000.0,2001,618.0,62.0,143.0,75.0,Exact,both
courtney alexander,1319000.0,2001,458.0,41.0,80.0,54.0,Exact,both
michael dickerson,1310000.0,2001,1142.0,233.0,229.0,162.0,Exact,both
peja stojakovic,1310000.0,2001,1529.0,164.0,434.0,146.0,Exact,both
mateen cleaves,1253000.0,2001,422.0,207.0,132.0,139.0,Exact,both
matt harpring,1244000.0,2001,623.0,102.0,242.0,90.0,Exact,both
zan tabak,1210000.0,2001,216.0,33.0,213.0,57.0,Exact,both
danny ferry,1200000.0,2001,448.0,71.0,223.0,50.0,Exact,both
anthony johnson,1200000.0,2001,130.0,78.0,44.0,34.0,Exact,both
anthony johnson,1200000.0,2001,66.0,44.0,21.0,14.0,Exact,both
anthony johnson,1200000.0,2001,64.0,34.0,23.0,20.0,Exact,both
laphonso ellis,1200000.0,2001,772.0,93.0,494.0,108.0,Exact,both
eldridge recasner,1200000.0,2001,103.0,39.0,50.0,27.0,Exact,both
danny manning,1200000.0,2001,603.0,92.0,214.0,96.0,Exact,both
anthony carter,1200000.0,2001,461.0,268.0,180.0,119.0,Exact,both
hersey hawkins,1200000.0,2001,183.0,72.0,80.0,19.0,Exact,both
jason collier,1190000.0,2001,71.0,6.0,37.0,11.0,Exact,both
metta world peace,1160000.0,2001,907.0,228.0,294.0,159.0,Exact,both
hedo turkoglu,1131000.0,2001,391.0,69.0,210.0,55.0,Exact,both
tom hammonds,1130000.0,2001,7.0,1.0,4.0,3.0,Exact,both
rasho nesterovic,1123000.0,2001,328.0,45.0,286.0,55.0,Exact,both
cal bowdler,1102000.0,2001,140.0,4.0,77.0,11.0,Exact,both
greg buckner,1100000.0,2001,229.0,49.0,157.0,27.0,Exact,both
desmond mason,1074000.0,2001,463.0,63.0,249.0,53.0,Exact,both
james posey,1047000.0,2001,666.0,163.0,431.0,102.0,Exact,both
quentin richardson,1020000.0,2001,613.0,62.0,257.0,64.0,Exact,both
pat garrity,1019000.0,2001,628.0,51.0,210.0,68.0,Exact,both
quincy lewis,1000000.0,2001,124.0,18.0,47.0,17.0,Exact,both
ruben patterson,990000.0,2001,988.0,161.0,382.0,155.0,Exact,both
roshown mcleod,978000.0,2001,337.0,58.0,120.0,58.0,Exact,both
roshown mcleod,978000.0,2001,2.0,0.0,2.0,1.0,Exact,both
roshown mcleod,978000.0,2001,335.0,58.0,118.0,57.0,Exact,both
jamaal magloire,975000.0,2001,339.0,27.0,295.0,61.0,Exact,both
dion glover,960000.0,2001,338.0,69.0,131.0,54.0,Exact,both
ricky davis,939000.0,2001,32.0,11.0,7.0,5.0,Exact,both
jeff foster,922000.0,2001,249.0,33.0,389.0,52.0,Exact,both
brian skinner,901000.0,2001,160.0,18.0,168.0,32.0,Exact,both
morris peterson,898000.0,2001,747.0,105.0,259.0,78.0,Exact,both
kenny thomas,885000.0,2001,528.0,77.0,417.0,116.0,Exact,both
fred hoiberg,880000.0,2001,673.0,263.0,308.0,74.0,Exact,both
tyronn lue,865000.0,2001,130.0,45.0,32.0,27.0,Exact,both
devean george,849000.0,2001,182.0,19.0,110.0,34.0,Exact,both
felipe lopez,831000.0,2001,550.0,107.0,234.0,83.0,Exact,both
felipe lopez,831000.0,2001,170.0,34.0,74.0,27.0,Exact,both
felipe lopez,831000.0,2001,380.0,73.0,160.0,56.0,Exact,both
deshawn stevenson,828000.0,2001,89.0,18.0,28.0,28.0,Exact,both
john crotty,800000.0,2001,65.0,34.0,28.0,19.0,Exact,both
don maclean,798000.0,2001,31.0,4.0,18.0,10.0,Exact,both
al harrington,797000.0,2001,586.0,130.0,381.0,148.0,Exact,both
dalibor bagaric,795000.0,2001,47.0,10.0,56.0,21.0,Exact,both
tim james,783000.0,2001,45.0,8.0,35.0,8.0,Exact,both
jake tsakalidis,763000.0,2001,256.0,19.0,242.0,66.0,Exact,both
vonteego cummings,757000.0,2001,483.0,227.0,137.0,91.0,Exact,both
hubert davis,752000.0,2001,153.0,49.0,30.0,25.0,Exact,both
hubert davis,752000.0,2001,371.0,61.0,109.0,56.0,Exact,both
hubert davis,752000.0,2001,524.0,110.0,139.0,81.0,Exact,both
corey benjamin,744000.0,2001,307.0,69.0,100.0,63.0,Exact,both
nazr mohammed,739000.0,2001,345.0,17.0,252.0,55.0,Exact,both
nazr mohammed,739000.0,2001,96.0,2.0,55.0,9.0,Exact,both
nazr mohammed,739000.0,2001,441.0,19.0,307.0,64.0,Exact,both
jumaine jones,735000.0,2001,304.0,32.0,189.0,39.0,Exact,both
bruce bowen,733000.0,2001,623.0,132.0,245.0,74.0,Exact,both
scott padgett,730000.0,2001,56.0,5.0,39.0,10.0,Exact,both
damon jones,714000.0,2001,461.0,224.0,124.0,76.0,Exact,both
erick barkley,712000.0,2001,19.0,6.0,3.0,5.0,Exact,both
mark madsen,707000.0,2001,137.0,24.0,152.0,27.0,Exact,both
darrick martin,673000.0,2001,103.0,14.0,16.0,10.0,Exact,both
emanual davis,611000.0,2001,361.0,137.0,154.0,77.0,Exact,both
eddie robinson,600000.0,2001,498.0,59.0,198.0,43.0,Exact,both
john amaechi,598000.0,2001,650.0,74.0,268.0,124.0,Exact,both
shammond williams,550000.0,2001,467.0,190.0,132.0,82.0,Exact,both
kevin edwards,548000.0,2001,160.0,52.0,82.0,37.0,Exact,both
mahmoud abdul-rauf,548000.0,2001,266.0,76.0,25.0,26.0,Exact,both
david benoit,548000.0,2001,178.0,22.0,81.0,28.0,Exact,both
david wingate,548000.0,2001,6.0,2.0,0.0,0.0,Exact,both
mario elie,548000.0,2001,299.0,131.0,155.0,60.0,Exact,both
felton spencer,548000.0,2001,39.0,2.0,35.0,11.0,Exact,both
don reid,548000.0,2001,210.0,21.0,242.0,48.0,Exact,both
monty williams,548000.0,2001,410.0,79.0,243.0,85.0,Exact,both
shawnelle scott,548000.0,2001,43.0,4.0,50.0,11.0,Exact,both
terry davis,548000.0,2001,33.0,7.0,53.0,5.0,Exact,both
stacey augmon,548000.0,2001,311.0,98.0,159.0,48.0,Exact,both
dee brown,548000.0,2001,48.0,12.0,11.0,7.0,Exact,both
matt maloney,548000.0,2001,369.0,154.0,117.0,70.0,Exact,both
antonio harvey,548000.0,2001,31.0,4.0,14.0,3.0,Exact,both
jeff mcinnis,523000.0,2001,1046.0,447.0,220.0,113.0,Exact,both
tyus edney,523000.0,2001,106.0,54.0,24.0,25.0,Exact,both
troy hudson,523000.0,2001,357.0,162.0,105.0,92.0,Exact,both
moochie norris,523000.0,2001,544.0,283.0,198.0,107.0,Exact,both
ryan bowen,508000.0,2001,191.0,30.0,113.0,24.0,Exact,both
