Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
metta world peace,2676000.0,2004.0,1333.0,272.0,385.0,202.0,73.0,Exact,both
tony parker,1545000.0,2005.0,1331.0,491.0,298.0,215.0,80.0,Exact,both
josh howard,1667603.0,2007.0,1321.0,127.0,475.0,123.0,70.0,Exact,both
caron butler,2461617.0,2006.0,1318.0,186.0,466.0,175.0,75.0,Exact,both
kyle kuzma,1689840.0,2019.0,1308.0,178.0,382.0,133.0,70.0,Exact,both
lamar odom,2628000.0,2001.0,1304.0,392.0,592.0,264.0,76.0,Exact,both
jimmy butler,2008748.0,2015.0,1301.0,212.0,379.0,93.0,65.0,Exact,both
andre miller,1808000.0,2001.0,1296.0,657.0,360.0,265.0,82.0,Exact,both
david lee,1788033.0,2009.0,1293.0,174.0,951.0,150.0,81.0,Exact,both
brandon knight,2793960.0,2014.0,1291.0,352.0,255.0,188.0,72.0,Exact,both
kemba walker,2568360.0,2014.0,1289.0,447.0,306.0,169.0,73.0,Exact,both
jalen brunson,2083804.0,2022.0,1285.0,377.0,309.0,124.0,79.0,Exact,both
kirk hinrich,2513880.0,2006.0,1284.0,514.0,288.0,188.0,81.0,Exact,both
andrei kirilenko,956000.0,2004.0,1284.0,244.0,629.0,215.0,78.0,Exact,both
keldon johnson,2481198.0,2022.0,1278.0,158.0,457.0,92.0,75.0,Exact,both
monta ellis,664209.0,2007.0,1272.0,319.0,243.0,221.0,77.0,Exact,both
nate robinson,2020179.0,2009.0,1272.0,301.0,290.0,139.0,74.0,Exact,both
brandon jennings,2168520.0,2010.0,1270.0,470.0,282.0,200.0,82.0,Exact,both
derek anderson,2250000.0,2001.0,1269.0,301.0,363.0,165.0,82.0,Exact,both
tony parker,800000.0,2003.0,1269.0,432.0,216.0,198.0,82.0,Exact,both
david west,1334160.0,2006.0,1262.0,92.0,548.0,105.0,74.0,Exact,both
brandon jennings,2493720.0,2012.0,1260.0,365.0,226.0,146.0,66.0,Exact,both
richard hamilton,2111000.0,2002.0,1260.0,171.0,216.0,132.0,63.0,Exact,both
bonzi wells,2028000.0,2002.0,1255.0,204.0,444.0,191.0,74.0,Exact,both
eric gordon,2623200.0,2009.0,1252.0,215.0,201.0,164.0,78.0,Exact,both
desmond bane,2258667.0,2023.0,1247.0,254.0,291.0,126.0,58.0,Exact,both
richard jefferson,1482000.0,2003.0,1242.0,201.0,514.0,156.0,80.0,Exact,both
kyle kuzma,1423560.0,2018.0,1242.0,141.0,483.0,140.0,77.0,Exact,both
chandler parsons,926500.0,2014.0,1226.0,298.0,409.0,144.0,74.0,Exact,both
jordan clarkson,845059.0,2016.0,1225.0,192.0,313.0,135.0,79.0,Exact,both
nikola jokic,1358500.0,2017.0,1221.0,359.0,718.0,171.0,73.0,Fuzzy,both
ty lawson,2544529.0,2013.0,1216.0,501.0,198.0,182.0,73.0,Exact,both
rodney stuckey,1805040.0,2010.0,1215.0,348.0,281.0,163.0,73.0,Exact,both
evan fournier,2288205.0,2016.0,1213.0,214.0,225.0,133.0,79.0,Exact,both
immanuel quickley,2455881.0,2023.0,1209.0,279.0,337.0,100.0,81.0,Exact,both
jodie meeks,1550000.0,2014.0,1209.0,138.0,194.0,111.0,77.0,Exact,both
chauncey billups,2700000.0,2003.0,1199.0,287.0,273.0,134.0,74.0,Exact,both
al thornton,1776240.0,2009.0,1194.0,103.0,368.0,130.0,71.0,Exact,both
john collins,2299080.0,2019.0,1188.0,121.0,595.0,120.0,61.0,Exact,both
jeff mcinnis,590000.0,2002.0,1184.0,500.0,213.0,147.0,81.0,Exact,both
wilson chandler,1173480.0,2009.0,1184.0,170.0,445.0,139.0,82.0,Exact,both
desmond mason,1898000.0,2004.0,1183.0,152.0,359.0,148.0,82.0,Exact,both
dillon brooks,1618520.0,2020.0,1181.0,150.0,243.0,124.0,73.0,Exact,both
dj augustin,2540000.0,2011.0,1178.0,498.0,225.0,155.0,82.0,Exact,both
josh smith,1460640.0,2007.0,1178.0,236.0,621.0,227.0,72.0,Exact,both
chandler parsons,888250.0,2013.0,1177.0,269.0,404.0,147.0,76.0,Exact,both
quentin richardson,2562000.0,2005.0,1176.0,158.0,479.0,102.0,79.0,Exact,both
mo williams,1920000.0,2007.0,1174.0,416.0,329.0,203.0,68.0,Exact,both
myles turner,2463840.0,2017.0,1173.0,106.0,589.0,105.0,81.0,Exact,both
gary harris,2550055.0,2018.0,1170.0,194.0,176.0,119.0,67.0,Exact,both
michael carterwilliams,2200920.0,2014.0,1167.0,441.0,437.0,247.0,70.0,Exact,both
jeff teague,2433077.0,2013.0,1166.0,579.0,180.0,230.0,80.0,Exact,both
tobias harris,2380594.0,2015.0,1164.0,124.0,430.0,115.0,68.0,Exact,both
taurean prince,2526840.0,2018.0,1158.0,214.0,389.0,191.0,82.0,Exact,both
tayshaun prince,1763115.0,2006.0,1156.0,186.0,346.0,91.0,82.0,Exact,both
morris peterson,1033000.0,2003.0,1153.0,188.0,363.0,128.0,82.0,Exact,both
jason richardson,2021000.0,2002.0,1151.0,236.0,340.0,160.0,80.0,Exact,both
zach lavine,2148360.0,2016.0,1150.0,251.0,228.0,155.0,82.0,Exact,both
rodney hood,1348440.0,2016.0,1149.0,213.0,267.0,125.0,79.0,Exact,both
desmond mason,1235000.0,2003.0,1147.0,163.0,523.0,115.0,80.0,Exact,both
wally szczerbiak,2162000.0,2001.0,1145.0,260.0,447.0,138.0,82.0,Exact,both
devonte graham,1416852.0,2020.0,1145.0,471.0,212.0,181.0,63.0,Exact,both
thaddeus young,1968120.0,2009.0,1145.0,86.0,377.0,118.0,75.0,Exact,both
jrue holiday,1627920.0,2011.0,1145.0,531.0,332.0,218.0,82.0,Exact,both
nick young,1106942.0,2014.0,1144.0,95.0,166.0,95.0,64.0,Exact,both
spencer dinwiddie,1656092.0,2019.0,1143.0,311.0,166.0,152.0,68.0,Exact,both
tim hardaway jr,2281605.0,2017.0,1143.0,182.0,224.0,106.0,79.0,Exact,both
michael dickerson,1310000.0,2001.0,1142.0,233.0,229.0,162.0,70.0,Exact,both
danny granger,1417800.0,2007.0,1142.0,114.0,381.0,135.0,82.0,Exact,both
dario saric,2526840.0,2018.0,1141.0,202.0,520.0,148.0,78.0,Fuzzy,both
bonzi wells,2777000.0,2003.0,1138.0,246.0,394.0,215.0,75.0,Exact,both
rudy gobert,2121288.0,2017.0,1137.0,97.0,1035.0,147.0,81.0,Exact,both
andre drummond,2568360.0,2015.0,1130.0,55.0,1104.0,120.0,82.0,Exact,both
james posey,2445000.0,2004.0,1126.0,122.0,403.0,112.0,82.0,Exact,both
shane battier,2203000.0,2002.0,1125.0,216.0,418.0,155.0,78.0,Exact,both
quentin richardson,1805000.0,2004.0,1121.0,139.0,414.0,141.0,65.0,Exact,both
jamaal magloire,1735000.0,2004.0,1119.0,86.0,847.0,201.0,82.0,Exact,both
reggie jackson,2204369.0,2015.0,1117.0,462.0,327.0,186.0,77.0,Exact,both
markieff morris,2091840.0,2014.0,1115.0,144.0,485.0,147.0,81.0,Exact,both
nick young,2630503.0,2011.0,1115.0,75.0,174.0,90.0,64.0,Exact,both
rashad mccants,1769160.0,2008.0,1114.0,162.0,206.0,172.0,75.0,Exact,both
luol deng,2443920.0,2006.0,1112.0,147.0,516.0,105.0,78.0,Exact,both
ronnie brewer,1834680.0,2009.0,1111.0,179.0,300.0,110.0,81.0,Exact,both
rajon rondo,2094923.0,2010.0,1110.0,794.0,360.0,246.0,81.0,Exact,both
charlie bell,744551.0,2007.0,1110.0,247.0,238.0,104.0,82.0,Exact,both
al jefferson,1618320.0,2007.0,1107.0,88.0,756.0,136.0,69.0,Exact,both
jj hickson,1528920.0,2011.0,1105.0,91.0,695.0,173.0,80.0,Exact,both
wilson chandler,2130482.0,2011.0,1100.0,120.0,408.0,104.0,72.0,Exact,both
isaiah thomas,762195.0,2013.0,1100.0,316.0,161.0,140.0,79.0,Exact,both
tony parker,856000.0,2004.0,1099.0,411.0,237.0,179.0,75.0,Exact,both
kenneth faried,1367640.0,2014.0,1096.0,96.0,684.0,135.0,80.0,Exact,both
andre drummond,2465400.0,2014.0,1095.0,35.0,1071.0,110.0,81.0,Exact,both
alec burks,2202000.0,2014.0,1089.0,212.0,257.0,149.0,78.0,Exact,both
andre miller,2460000.0,2003.0,1088.0,537.0,316.0,206.0,80.0,Exact,both
greivis vasquez,1191240.0,2013.0,1083.0,704.0,337.0,247.0,78.0,Exact,both
dwyane wade,1512601.0,2019.0,1083.0,301.0,285.0,166.0,72.0,Exact,both
rodney stuckey,2767126.0,2011.0,1082.0,361.0,216.0,155.0,70.0,Exact,both
lance stephenson,1005000.0,2014.0,1080.0,359.0,558.0,210.0,78.0,Exact,both
boris diaw,1174200.0,2006.0,1080.0,503.0,558.0,189.0,81.0,Exact,both
nenad krstic,1010040.0,2006.0,1080.0,88.0,513.0,133.0,80.0,Exact,both
quentin richardson,1097000.0,2002.0,1076.0,128.0,334.0,102.0,81.0,Exact,both
troy murphy,2232000.0,2005.0,1076.0,97.0,756.0,108.0,70.0,Exact,both
nate robinson,854389.0,2013.0,1074.0,358.0,184.0,144.0,82.0,Exact,both
jarrett jack,2002623.0,2009.0,1074.0,338.0,276.0,184.0,82.0,Exact,both
corey maggette,2069000.0,2003.0,1073.0,123.0,322.0,147.0,64.0,Exact,both
brook lopez,2098560.0,2009.0,1068.0,86.0,665.0,147.0,82.0,Exact,both
metta world peace,1904000.0,2003.0,1068.0,198.0,362.0,145.0,69.0,Exact,both
andres nocioni,2775000.0,2006.0,1063.0,117.0,500.0,120.0,82.0,Exact,both
rodney stuckey,1687320.0,2009.0,1058.0,387.0,275.0,173.0,79.0,Exact,both
marcus thornton,457588.0,2010.0,1057.0,114.0,211.0,76.0,73.0,Exact,both
khris middleton,915243.0,2015.0,1055.0,182.0,347.0,113.0,79.0,Exact,both
charlie villanueva,2360880.0,2006.0,1053.0,88.0,521.0,99.0,81.0,Exact,both
malik monk,2069001.0,2022.0,1048.0,218.0,256.0,122.0,76.0,Exact,both
devin booker,2127840.0,2016.0,1048.0,200.0,187.0,160.0,76.0,Exact,both
reggie jackson,1260360.0,2014.0,1047.0,331.0,313.0,168.0,80.0,Exact,both
elfrid payton,2613600.0,2017.0,1046.0,529.0,387.0,178.0,82.0,Exact,both
jeff mcinnis,523000.0,2001.0,1046.0,447.0,220.0,113.0,81.0,Exact,both
hakim warrick,1286280.0,2007.0,1045.0,75.0,420.0,161.0,82.0,Exact,both
kentavious caldwellpope,2772480.0,2015.0,1043.0,109.0,255.0,94.0,82.0,Exact,both
domantas sabonis,2659800.0,2019.0,1043.0,212.0,690.0,160.0,74.0,Exact,both
dario saric,2318280.0,2017.0,1040.0,182.0,513.0,183.0,81.0,Fuzzy,both
hassan whiteside,981348.0,2016.0,1040.0,29.0,865.0,137.0,73.0,Exact,both
darren collison,1361040.0,2011.0,1039.0,403.0,225.0,194.0,79.0,Exact,both
kj martin,1890091.0,2023.0,1039.0,123.0,452.0,91.0,82.0,Exact,both
ryan gomes,770610.0,2008.0,1033.0,145.0,475.0,96.0,82.0,Exact,both
giannis antetokounmpo,1873200.0,2015.0,1030.0,207.0,542.0,173.0,81.0,Exact,both
morris peterson,2371000.0,2005.0,1029.0,169.0,340.0,93.0,82.0,Exact,both
paul millsap,797581.0,2009.0,1028.0,138.0,654.0,129.0,76.0,Exact,both
chauncey billups,2475000.0,2002.0,1027.0,450.0,226.0,138.0,82.0,Exact,both
josh smith,2077000.0,2015.0,1027.0,277.0,530.0,206.0,83.0,Exact,both
clint capela,2334528.0,2018.0,1026.0,68.0,802.0,103.0,74.0,Exact,both
roy hibbert,1685280.0,2011.0,1025.0,166.0,610.0,185.0,81.0,Exact,both
kendrick nunn,1416852.0,2020.0,1024.0,220.0,180.0,114.0,67.0,Exact,both
brandon jennings,2331120.0,2011.0,1019.0,305.0,234.0,146.0,63.0,Exact,both
gordon hayward,2709720.0,2013.0,1017.0,213.0,225.0,120.0,72.0,Exact,both
kenny thomas,946000.0,2002.0,1015.0,137.0,516.0,143.0,72.0,Exact,both
mike miller,2668000.0,2003.0,1011.0,170.0,341.0,125.0,65.0,Exact,both
nikola vucevic,1793520.0,2013.0,1008.0,143.0,917.0,141.0,77.0,Fuzzy,both
andre iguodala,2058000.0,2006.0,1007.0,255.0,481.0,153.0,82.0,Exact,both
spencer dinwiddie,1656092.0,2018.0,1007.0,524.0,259.0,128.0,80.0,Exact,both
kenny thomas,2225000.0,2004.0,1006.0,111.0,750.0,172.0,74.0,Exact,both
tony delk,2250000.0,2001.0,1005.0,160.0,261.0,101.0,82.0,Exact,both
al thornton,1652280.0,2008.0,1005.0,98.0,358.0,128.0,79.0,Exact,both
al harrington,2110000.0,2003.0,1002.0,125.0,511.0,163.0,82.0,Exact,both
malcolm brogdon,1544951.0,2019.0,1001.0,205.0,288.0,91.0,64.0,Exact,both
jameer nelson,1272120.0,2007.0,1000.0,330.0,236.0,184.0,77.0,Exact,both
ty lawson,1654440.0,2012.0,999.0,401.0,227.0,149.0,61.0,Exact,both
brandon knight,2678640.0,2013.0,999.0,303.0,247.0,205.0,75.0,Exact,both
rodney rogers,2200000.0,2001.0,998.0,180.0,359.0,157.0,82.0,Exact,both
wilson chandler,1255440.0,2010.0,993.0,138.0,348.0,108.0,65.0,Exact,both
alec burks,1620564.0,2020.0,993.0,189.0,282.0,91.0,66.0,Exact,both
joe johnson,261894.0,2016.0,992.0,318.0,292.0,159.0,81.0,Exact,both
cedi osman,2775000.0,2019.0,991.0,195.0,357.0,114.0,76.0,Exact,both
nicolas batum,1196760.0,2011.0,990.0,123.0,361.0,83.0,80.0,Exact,both
khris middleton,788872.0,2014.0,990.0,169.0,310.0,123.0,82.0,Exact,both
ruben patterson,990000.0,2001.0,988.0,161.0,382.0,155.0,76.0,Exact,both
grant hill,1976400.0,2009.0,985.0,186.0,405.0,126.0,82.0,Exact,both
duncan robinson,1416852.0,2020.0,983.0,102.0,232.0,70.0,73.0,Exact,both
primoz brezec,2750000.0,2006.0,982.0,45.0,440.0,85.0,79.0,Exact,both
jared sullinger,1365720.0,2014.0,982.0,118.0,601.0,119.0,74.0,Exact,both
ryan anderson,2244601.0,2012.0,980.0,54.0,471.0,57.0,61.0,Exact,both
ramon sessions,722517.0,2009.0,977.0,452.0,269.0,152.0,79.0,Exact,both
mike miller,2320000.0,2001.0,975.0,140.0,327.0,97.0,82.0,Exact,both
trey burke,2548560.0,2015.0,973.0,328.0,204.0,124.0,76.0,Exact,both
ish smith,947276.0,2016.0,972.0,502.0,305.0,175.0,77.0,Exact,both
darren collison,1900000.0,2013.0,972.0,415.0,219.0,173.0,81.0,Exact,both
francisco garcia,1168800.0,2008.0,971.0,128.0,264.0,128.0,79.0,Exact,both
michael carterwilliams,2300040.0,2015.0,966.0,442.0,353.0,253.0,66.0,Exact,both
bobby portis,2494346.0,2018.0,964.0,123.0,498.0,103.0,73.0,Exact,both
george hill,1081680.0,2010.0,964.0,226.0,205.0,101.0,78.0,Exact,both
andrei kirilenko,893000.0,2003.0,963.0,138.0,420.0,136.0,80.0,Exact,both
ricky davis,1496000.0,2002.0,959.0,178.0,243.0,148.0,82.0,Exact,both
jason williams,2554000.0,2002.0,959.0,519.0,195.0,214.0,65.0,Exact,both
matt harpring,1908000.0,2002.0,958.0,107.0,573.0,127.0,81.0,Exact,both
mike miller,2494000.0,2002.0,956.0,198.0,273.0,108.0,63.0,Exact,both
brandon roy,2681880.0,2007.0,955.0,230.0,250.0,116.0,57.0,Exact,both
aaron brooks,915243.0,2015.0,954.0,261.0,166.0,157.0,82.0,Exact,both
jaden mcdaniels,2291748.0,2023.0,953.0,148.0,307.0,112.0,79.0,Exact,both
rajon rondo,1315080.0,2009.0,953.0,659.0,416.0,209.0,80.0,Exact,both
tj warren,2128920.0,2017.0,951.0,75.0,339.0,57.0,66.0,Exact,both
hakim warrick,2119102.0,2009.0,951.0,66.0,406.0,98.0,82.0,Exact,both
bonzi wells,1528000.0,2001.0,950.0,208.0,367.0,169.0,75.0,Exact,both
troy hudson,591000.0,2002.0,950.0,255.0,145.0,163.0,81.0,Exact,both
kevin porter,2061329.0,2022.0,949.0,376.0,267.0,192.0,61.0,Fuzzy,both
david west,2051938.0,2007.0,949.0,114.0,424.0,98.0,52.0,Exact,both
jarrett jack,1137960.0,2007.0,946.0,417.0,208.0,187.0,79.0,Exact,both
jeff green,1512601.0,2019.0,946.0,137.0,309.0,101.0,77.0,Exact,both
rondae hollisjefferson,2470357.0,2018.0,946.0,167.0,459.0,121.0,68.0,Exact,both
kenneth faried,2249768.0,2015.0,946.0,89.0,668.0,118.0,75.0,Exact,both
roy hibbert,1575360.0,2010.0,946.0,158.0,464.0,145.0,81.0,Exact,both
darren collison,1266120.0,2010.0,946.0,432.0,192.0,202.0,76.0,Exact,both
stephen jackson,587000.0,2003.0,946.0,183.0,286.0,176.0,80.0,Exact,both
